pc_filelist,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,crr,fhd,fd,fds,och,rug,rum,wetup,PCA1,PCA2
hoh_656655.4_936046.7.laz,167.68,91.89924401768023,41.73171549709936,-0.4840663122298714,1.9607059667559563,0.9413916854320964,59.97561347355585,100,19.91,24.05,28.54,41.47,57.45,69.36,83.66,91.83,97.97,103.54,108.2,113.88000000000002,118.01,121.36,124.64,128.61,133.17000000000004,138.55000000000004,145.54,0.5030487804878049,16.753048780487806,22.850609756097562,28.765243902439025,35.1219512195122,47.17987804878049,64.22256097560975,86.02134146341463,96.96646341463415,1.003147079126739,4.821862249732234,2.188728597329312,1.6952531500202925,116.37,40.716486486909155,41.632601548326164,UPL,-5.651894731968799,13.31844400296605
hoh_657504.1_934207.5.laz,314.66,237.3782943366126,44.615618272447826,-1.245212048007173,3.615407906138466,0.840528217903396,65.07577771869184,100,134.19,150.29,191.93,214.046,224.9775,232.38,237.47,242.06,246.52,250.95000000000002,254.59,258.63,262.14,265.03000000000003,268.47,271.19,274.17550000000006,278.21,283.92,0,0,0,1.9811195319771306,11.700571732482382,14.771971812259007,22.497008376545672,51.15011301688605,94.54859726100253,1.556879384374328,4.834291901692851,2.090709037604722,1.7427967164667655,261.42,37.44204778951424,50.30119291577491,UPL,-3.0303797230209195,3.2238709293572554
hoh_657645.9_938734.7.laz,351.08,315.0860620430745,22.439789810199205,-0.645977282925043,2.139953509898185,0.7197475118754649,59.760916814858724,100,273.2615,277.07,280.77,291.19,299.44,305.74,310.43,314.83,319.0135,321.96500000000003,324.44,326.77,328.8595,331.5810000000001,333.69,335.624,337.63,339.44,341.76,0,0,0,0,0,0,0,15.087441952376249,41.40895168461614,1.281495292298228,4.218450328298762,2.2791145845410594,1.9621655411791483,330.48,13.946844836571739,31.55278847958106,UPL,-2.722678980317536,-0.5943288372959361
hoh_664350.4_921304.7.laz,511.22,416.0624249329759,37.17146877261685,-0.41817007711348986,2.630545768950428,0.778740187464992,56.447721179624665,100,346.94849999999997,351.57,370.64,385.43,395.90000000000003,402.551,407.53600000000006,412.76,417.62,421.95,426.34000000000003,430.41,434.0305000000001,437.572,441.8,447.18,451.77,458.043,468.6015,0,0,0,0,0,0,13.352996380211824,36.65370693122402,91.44657460785626,0.8945417626817412,4.856846821373374,2.1415789794586853,1.7773461881842785,430.02,35.4774973539022,37.262878094000584,UPL,-2.1797435491316888,1.3682304210645304
hoh_665199_919465.5.laz,545.41,458.24817708785014,47.56524828152869,-0.008517357669212796,1.3679176494841279,0.7095571727964495,53.70739745035122,100,400.33,401.77,402.85,403.94,405.12,406.5,409.05,429.95,451.23,466.76,480.61,486.4200000000001,491.47,496.98,501.08,506.59000000000003,512.4,518.63,524.87,0,0,0,0,0,0,0,41.11882046834345,64.54466608846488,0.6987942088962423,4.471301349476841,2.005534336404926,1.7839801804512034,479.33,49.289161559511655,41.55879844658274,UPL,-1.669587116300357,1.1927321468123546
hoh_665511.1_929425.2.laz,647.47,604.4041294608373,21.039556010226658,-0.5357253300879056,2.327379528720874,0.6609316899106003,58.828981924918885,100,565.91,569.59,573.124,583.96,592.0600000000001,596.768,600.39,603.48,606.76,608.99,610.944,613.09,615.32,617.6800000000001,620.08,622.51,625.436,628.8000000000001,633.342,0,0,0,0,0,0,0,0,18.989493201483313,1.0972523919577106,4.278258720201628,2.201364721925185,1.8999378267783487,612.76,17.986999357729196,17.84624978546794,UPL,-1.0812713986167801,-0.9755261026204161
hoh_665596.2_932141.4.laz,589.7,553.7400195248943,17.862187248801707,-1.363012145676643,5.501103751901997,0.6459576337030124,58.81874389847055,100,519.3625,533.155,538.6800000000001,542.98,546.5600000000001,548.69,551.08,553.28,555.15,556.99,558.6200000000001,560.4300000000001,561.94,563.78,565.58,567.52,569.42,572.01,576.1800000000001,0,0,0,0,0,0,0,0,8.836452400325467,1.8676322577924505,4.12096032010362,2.101739762624517,1.8669158601780458,558.92,13.803048806834568,12.78763938855713,UPL,-1.0714620753767037,-1.3560626601160903
hoh_665905.8_913099.3.laz,501.38,442.5404392857143,32.763751790933696,-1.4339250163986528,4.522645844840671,0.7201412241412434,63.083333333333336,100,358.82,383.6,422.174,429.156,432.84000000000003,437.56,441.3,444.95,447.96000000000004,450.92,453.97,456.23,458.73,460.53000000000003,462.90000000000003,466.14,469.06,472.87,479.1015,0,0,0,0,0,0,0.2738421240623884,11.215620907250864,50.55363733777831,1.5906039771468143,4.477380335497041,2.083729823289349,1.829652229036407,455.97,25.07241042602349,30.214259556570397,UPL,-1.6262920823168041,0.16179726569310365
hoh_666047.7_917626.3.laz,559.51,500.3821790404717,28.412524777921526,-1.0773347504008837,3.594650606572921,0.7114318157260179,63.191280264451,100,435.1,445.34000000000003,471.874,484.09000000000003,490.88,495.37,499.24,502.07,505.05,507.48,509.81,512.14,514.21,516.24,518.8,521.65,524.1800000000001,528.38,534.94,0,0,0,0,0,0,0,10.775553967119372,42.79842744817727,1.326992569101733,4.501272780505194,2.179490869641181,1.887888294209826,512.185,21.419040830879975,35.05302853909239,UPL,-1.4852892673486795,-0.08203696105830316
hoh_667095_922125.laz,574.77,507.38262162162164,43.155750446332156,-1.5252371466405785,4.361829474427091,0.7331423708990461,68.1891891891892,100,403.1485,413.42,479.3255,493.27000000000004,499.97,505.67,510.43,514.47,517.78,520.3100000000001,523.0600000000001,525.62,528.67,531.53,534.25,537.246,541.44,545.413,550.2934999999999,0,0,0,0,0,0,4.541154210028382,13.474793891066358,44.249222867955126,1.8793225774495435,4.658364601664644,2.058972166762958,1.805473508089699,526.57,31.393268898722756,53.32063107112661,UPL,-0.9982727109196278,1.135367465017142
