pc_filelist,wetup
hoh_656655.4_936046.7.laz,UPL
hoh_657504.1_934207.5.laz,UPL
hoh_657645.9_938734.7.laz,UPL
hoh_664350.4_921304.7.laz,UPL
hoh_665199_919465.5.laz,UPL
hoh_665511.1_929425.2.laz,UPL
hoh_665596.2_932141.4.laz,UPL
hoh_665905.8_913099.3.laz,UPL
hoh_666047.7_917626.3.laz,UPL
hoh_667095_922125.laz,UPL
hoh_669527.5_912985.7.laz,UPL
hoh_671849.1_929226.6.laz,UPL
hoh_673969.4_910127.6.laz,UPL
hoh_674170.6_945467.7.laz,UPL
hoh_675132.8_947250.3.laz,UPL
hoh_675524.7_901922.1.laz,WET
hoh_677000.4_949004.4.laz,WET
hoh_677136.7_895527.4.laz,WET
hoh_677619.4_910919.4.laz,UPL
hoh_677843.2_889161.2.laz,WET
hoh_678013.7_894593.6.laz,WET
hoh_678606.6_884605.8.laz,WET
hoh_678720.2_888227.4.laz,UPL
hoh_678975.9_896376.laz,WET
hoh_679032.7_898186.9.laz,WET
hoh_679568.8_886388.2.laz,WET
hoh_679597.2_887293.6.laz,WET
hoh_680246.9_879116.6.laz,UPL
hoh_680303.7_880927.4.laz,WET
hoh_680360.5_882738.2.laz,WET
hoh_680474.2_886359.8.laz,WET
hoh_680502.6_887265.2.laz,WET
hoh_681038.6_875466.7.laz,UPL
hoh_681067_876372.laz,WET
hoh_681152.3_879088.2.laz,WET
hoh_681379.6_886331.4.laz,WET
hoh_681408_887236.8.laz,WET
hoh_681436.4_888142.2.laz,UPL
hoh_681464.8_889047.6.laz,WET
hoh_682114.5_880870.6.laz,WET
hoh_682483.9_892640.8.laz,WET
hoh_682540.7_894451.6.laz,WET
hoh_682597.5_896262.4.laz,WET
hoh_682856.2_933413.2.laz,UPL
hoh_683218.8_887180.laz,WET
hoh_683446.1_894423.2.laz,WET
hoh_684010.5_883529.9.laz,WET
hoh_684124.2_887151.5.laz,WET
hoh_684944.4_884406.9.laz,WET
hoh_685058_888028.5.laz,WET
hoh_685430.6_928800.9.laz,UPL
hoh_685455.8_900704.3.laz,WET
hoh_685849.8_884378.5.laz,UPL
hoh_686332.8_899770.4.laz,WET
hoh_686361.2_900675.8.laz,UPL
hoh_686722.4_854443.8.laz,WET
hoh_687627.8_854415.4.laz,WET
hoh_687660.6_884321.7.laz,WET
hoh_687689_885227.1.laz,WET
hoh_688419.4_850765.4.laz,WET
hoh_688447.8_851670.8.laz,UPL
hoh_688561.6_855292.3.laz,WET
hoh_688566_884293.3.laz,UPL
hoh_688675.3_858913.9.laz,WET
hoh_690429.2_857046.2.laz,WET
hoh_691533.7_863355.5.laz,WET
hoh_691903.3_875125.6.laz,UPL
hoh_692443.4_892328.2.laz,WET
hoh_692471.8_893233.7.laz,WET
hoh_692723.4_872380.9.laz,WET
hoh_693267.2_918585.5.laz,UPL
hoh_693608_929450.8.laz,UPL
hoh_693778.3_934883.5.laz,UPL
hoh_694428.3_926706.1.laz,UPL
hoh_694598.6_932138.8.laz,UPL
hoh_694619.5_875040.3.laz,UPL
hoh_694769_937571.5.laz,UPL
hoh_694910.9_942098.8.laz,WET
hoh_695269_866863.3.laz,UPL
hoh_695415.4_900391.7.laz,WET
hoh_695788_941164.9.laz,WET
hoh_695951.3_888592.9.laz,WET
hoh_696040.4_920311.2.laz,UPL
hoh_696231.3_868645.6.laz,WET
hoh_696544_878605.laz,UPL
hoh_697084.1_895807.8.laz,WET
hoh_697335.7_874955.laz,UPL
hoh_698724.4_890318.5.laz,UPL
hoh_699008.6_899372.6.laz,WET
hoh_699037.1_900278.1.laz,WET
hoh_699264.4_907521.5.laz,WET
hoh_699796_866721.1.laz,UPL
hoh_699885.6_898438.8.laz,WET
hoh_700137.2_877585.9.laz,WET
hoh_700194.1_879396.7.laz,UPL
hoh_700791.1_898410.4.laz,UPL
hoh_700904.7_902032.1.laz,WET
hoh_702768.1_874784.3.laz,UPL
hoh_702857.7_906502.4.laz,UPL
hoh_703474.4_868418.1.laz,UPL
hoh_703645.1_873850.5.laz,UPL
hoh_704384.3_897391.3.laz,UPL
hoh_704668.6_906445.6.laz,WET
hoh_705375_900079.1.laz,WET
hoh_705858.2_915471.5.laz,UPL
hoh_706142.3_924526.laz,UPL
hoh_706252_899145.3.laz,WET
hoh_706564.7_909105.laz,UPL
hoh_708290.3_906331.9.laz,WET
hoh_708318.7_907237.3.laz,WET
hoh_712646.9_900757.1.laz,UPL
hoh_715083.1_920620.laz,WET
hoh_715736.6_941445.7.laz,other
hoh_718591.3_916884.5.laz,WET
hoh_720402.2_916827.7.laz,UPL
hoh_720999_935842.4.laz,WET
hoh_721027.4_936747.9.laz,UPL
hoh_721449.7_921326.5.laz,UPL
hoh_721620.3_926759.3.laz,WET
hoh_721758.1_902283.7.laz,UPL
hoh_721762.4_931286.6.laz,WET
hoh_722525.7_926730.9.laz,WET
hoh_725294.6_899453.6.laz,UPL
hoh_726062.3_923900.8.laz,UPL
hoh_726261.3_930239.laz,WET
hoh_726967.8_923872.4.laz,UPL
hoh_729598.9_921070.7.laz,UPL
hoh_729911.6_931030.8.laz,WET
hoh_731523.5_924635.7.laz,WET
hoh_733220.7_920956.9.laz,WET
hoh_734126.2_920928.5.laz,WET
hoh_734325.2_927266.8.laz,WET
hoh_736700.4_916315.9.laz,WET
hoh_737577.4_915382.laz,WET
hoh_739075.4_905365.laz,UPL
hoh_739160.8_908081.4.laz,UPL
hoh_739615.9_922568.8.laz,WET
hoh_740014_935245.5.laz,UPL
hoh_740976.3_937028.laz,UPL
hoh_742303.8_921578.laz,WET
hoh_742332.3_922483.5.laz,WET
hoh_743522.2_931509.8.laz,UPL
